"filename", "language", "JSON with Comments", "JSON", "YAML", "Ignore", "TypeScript", "Markdown", "Prisma", "SQL", "Docker", "comment", "blank", "total"
"d:\project\DATN\spotify-clone\server\.dockerignore", "Ignore", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"d:\project\DATN\spotify-clone\server\.eslintrc.yml", "YAML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 71
"d:\project\DATN\spotify-clone\server\.lintstagedrc.yml", "YAML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\project\DATN\spotify-clone\server\.prettierignore", "Ignore", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\project\DATN\spotify-clone\server\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\project\DATN\spotify-clone\server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 8, 25
"d:\project\DATN\spotify-clone\server\README.md", "Markdown", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 54, 306
"d:\project\DATN\spotify-clone\server\docker-compose.yml", "YAML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\project\DATN\spotify-clone\server\i18n\en\error.json", "JSON", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"d:\project\DATN\spotify-clone\server\i18n\ja\error.json", "JSON", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"d:\project\DATN\spotify-clone\server\nest-cli.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\DATN\spotify-clone\server\package.json", "JSON", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 1, 160
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240319070551_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 29, 0, 8, 11, 48
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240319070729_change_name_table\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 28, 0, 18, 13, 59
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240319082851_change_fullname\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 1, 11
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240321163036_change_name_user_id\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 4, 0, 10, 3, 17
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240516181334_add_author_category\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 56, 0, 33, 24, 113
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240516182159_change_name_table\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 41, 0, 27, 22, 90
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240518112024_change_name_playlist\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 4, 0, 11, 3, 18
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240518161238_change_playlist_relation\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 18, 0, 16, 11, 45
"d:\project\DATN\spotify-clone\server\prisma\migrations\20240522091728_update_banner\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 12
"d:\project\DATN\spotify-clone\server\prisma\reset.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"d:\project\DATN\spotify-clone\server\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 108, 0, 0, 4, 22, 134
"d:\project\DATN\spotify-clone\server\prisma\seed.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 38, 2, 54
"d:\project\DATN\spotify-clone\server\src\app.controller.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 7, 32
"d:\project\DATN\spotify-clone\server\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 12, 4, 127
"d:\project\DATN\spotify-clone\server\src\app.service.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 32, 8, 74
"d:\project\DATN\spotify-clone\server\src\core\config\configuration.config.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 11, 114
"d:\project\DATN\spotify-clone\server\src\core\config\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\project\DATN\spotify-clone\server\src\core\constant\index.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 1, 29
"d:\project\DATN\spotify-clone\server\src\core\decorator\disable.decorator.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"d:\project\DATN\spotify-clone\server\src\core\decorator\guardResponse.decorator.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\project\DATN\spotify-clone\server\src\core\decorator\index.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\project\DATN\spotify-clone\server\src\core\decorator\public.decorator.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\project\DATN\spotify-clone\server\src\core\decorator\queryPaging.decorator.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\project\DATN\spotify-clone\server\src\core\decorator\requestHeader.decorator.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"d:\project\DATN\spotify-clone\server\src\core\decorator\roles.decorator.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\project\DATN\spotify-clone\server\src\core\decorator\user.decorator.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\project\DATN\spotify-clone\server\src\core\enum\default.enum.ts", "TypeScript", 0, 0, 0, 0, 315, 0, 0, 0, 0, 3, 46, 364
"d:\project\DATN\spotify-clone\server\src\core\enum\error.enum.ts", "TypeScript", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"d:\project\DATN\spotify-clone\server\src\core\enum\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\project\DATN\spotify-clone\server\src\core\global\auth\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"d:\project\DATN\spotify-clone\server\src\core\global\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 4, 33
"d:\project\DATN\spotify-clone\server\src\core\global\auth\auth.service.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 21, 125
"d:\project\DATN\spotify-clone\server\src\core\global\auth\dto\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\project\DATN\spotify-clone\server\src\core\global\auth\dto\systemLogin.dto.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"d:\project\DATN\spotify-clone\server\src\core\global\auth\dto\systemSignUp.dto.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"d:\project\DATN\spotify-clone\server\src\core\global\auth\guard\jwtAuth.guard.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 11, 56
"d:\project\DATN\spotify-clone\server\src\core\global\auth\guard\roles.guard.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 6, 34
"d:\project\DATN\spotify-clone\server\src\core\global\auth\interface\auth.interface.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 4, 33
"d:\project\DATN\spotify-clone\server\src\core\global\auth\interface\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\project\DATN\spotify-clone\server\src\core\global\auth\strategy\jwt.strategy.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 9, 10, 52
"d:\project\DATN\spotify-clone\server\src\core\global\auth\swagger\output\profile.response.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 26, 125
"d:\project\DATN\spotify-clone\server\src\core\global\auth\swagger\output\systemLogin.response.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"d:\project\DATN\spotify-clone\server\src\core\global\auth\swagger\output\systemSignUp.response.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"d:\project\DATN\spotify-clone\server\src\core\global\constance\constance.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
