Date : 2024-06-28 22:57:10
Directory : d:\project\DATN\spotify-clone\server
Total : 171 files,  5707 codes, 304 comments, 1129 blanks, all 7140 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        144 |      4,673 |        160 |        935 |      5,768 |
| JSON               |          7 |        328 |          0 |          7 |        335 |
| Markdown           |          2 |        258 |          0 |         55 |        313 |
| SQL                |          9 |        186 |        135 |         92 |        413 |
| Prisma             |          2 |        118 |          5 |         25 |        148 |
| YAML               |          3 |         89 |          0 |          3 |         92 |
| JSON with Comments |          1 |         28 |          0 |          1 |         29 |
| Docker             |          1 |         14 |          3 |          8 |         25 |
| Ignore             |          2 |         13 |          1 |          3 |         17 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        171 |      5,707 |        304 |      1,129 |      7,140 |
| . (Files)                                                                                                           |         14 |        601 |          4 |         79 |        684 |
| i18n                                                                                                                |          2 |        137 |          0 |          2 |        139 |
| i18n\en                                                                                                             |          1 |         64 |          0 |          1 |         65 |
| i18n\ja                                                                                                             |          1 |         73 |          0 |          1 |         74 |
| prisma                                                                                                              |         12 |        318 |        178 |        119 |        615 |
| prisma (Files)                                                                                                      |          3 |        132 |         43 |         27 |        202 |
| prisma\migrations                                                                                                   |          9 |        186 |        135 |         92 |        413 |
| prisma\migrations\20240319070551_init                                                                               |          1 |         29 |          8 |         11 |         48 |
| prisma\migrations\20240319070729_change_name_table                                                                  |          1 |         28 |         18 |         13 |         59 |
| prisma\migrations\20240319082851_change_fullname                                                                    |          1 |          2 |          8 |          1 |         11 |
| prisma\migrations\20240321163036_change_name_user_id                                                                |          1 |          4 |         10 |          3 |         17 |
| prisma\migrations\20240516181334_add_author_category                                                                |          1 |         56 |         33 |         24 |        113 |
